New run of the Duchamp sourcefinder: Thu May 17 11:53:14 2007
Executing statement : ./Duchamp -p verification/input3 

---- Parameters ----
Image to be analysed.........................[imageFile]  =  verification/verificationCube.fits
Intermediate Logfile...........................[logFile]  =  verification/log3.txt
Final Results file.............................[outFile]  =  verification/results3.txt
Spectrum file..............................[spectraFile]  =  verification/spectra3.ps
Display a map in a pgplot xwindow?.........[flagXOutput]  =  true
Saving reconstructed cube?.............[flagOutputRecon]  =  false
Saving residuals from reconstruction?..[flagOutputResid]  =  false
------
Trimming Blank Pixels?........................[flagTrim]  =  false
Searching for Negative features?..........[flagNegative]  =  false
Removing Milky Way channels?....................[flagMW]  =  false
Beam Size (pixels)......................................  =  10.1788
Removing baselines before search?.........[flagBaseline]  =  false
Smoothing each spectrum first?..............[flagSmooth]  =  false
Using A Trous reconstruction?...............[flagATrous]  =  true
Number of dimensions in reconstruction........[reconDim]  =  1
Minimum scale in reconstruction...............[scaleMin]  =  1
SNR Threshold within reconstruction...........[snrRecon]  =  3
Filter being used for reconstruction........[filterCode]  =  1 (B3 spline function)
Using FDR analysis?............................[flagFDR]  =  false
SNR Threshold (in sigma)........................[snrCut]  =  3
Minimum # Pixels in a detection.................[minPix]  =  2
Minimum # Channels in a detection..........[minChannels]  =  2
Growing objects after detection?............[flagGrowth]  =  false
Using Adjacent-pixel criterion?...........[flagAdjacent]  =  true
Max. velocity separation for merging....[threshVelocity]  =  7
Method of spectral plotting.............[spectralMethod]  =  peak
Type of object centre used in results......[pixelCentre]  =  centroid
--------------------

--------------------------------------------------------------------------------
 Obj#     X     Y     Z     F_tot    F_peak S/Nmax  X1  X2  Y1  Y2  Z1  Z2  Npix
                        [Jy/beam] [Jy/beam]                                [pix]
--------------------------------------------------------------------------------
   99  38.0   0.0 108.0     3.993     3.993   4.10  38  38   0   0 108 108     1
  100  11.0  60.0 109.0     3.456     3.456   3.55  11  11  60  60 109 109     1
  101  75.0  14.0 110.0     3.829     3.829   3.93  75  75  14  14 110 110     1
  102  65.0  66.0 110.0     4.069     4.069   4.18  65  65  66  66 110 110     1
  103  82.0  59.0 111.0     3.385     3.385   3.47  82  82  59  59 111 111     1
  104  14.0  77.0 112.0     3.849     3.849   3.95  14  14  77  77 112 112     1
  105  74.9  75.0 108.3  1634.489    11.304  11.63  70  80  70  80 104 113   303
  106  74.9  74.9 107.8  1813.975    10.913  11.23  70  80  70  80 102 114   353
  107  98.0  70.0 116.0     3.942     3.942   4.05  98  98  70  70 116 116     1
  108  44.0  15.0 118.0     3.650     3.650   3.75  44  44  15  15 118 118     1
  109  48.0  52.0 118.0     3.882     3.882   3.98  48  48  52  52 118 118     1
  110  87.0  65.0 119.0     3.357     3.357   3.44  87  87  65  65 119 119     1
  111  25.0  69.0 120.0     3.867     3.867   3.97  25  25  69  69 120 120     1
  112  47.0   1.0 122.0     3.703     3.703   3.80  47  47   1   1 122 122     1
  113  80.0  33.0 122.0     3.684     3.684   3.78  80  80  33  33 122 122     1
  114  10.0  82.0 122.0     3.375     3.375   3.46  10  10  82  82 122 122     1
  115  19.0  16.0 123.0     3.524     3.524   3.61  19  19  16  16 123 123     1
  116  59.0  69.0 123.0     3.617     3.617   3.71  59  59  69  69 123 123     1
  117  19.0  67.0 124.0     3.654     3.654   3.75  19  19  67  67 124 124     1
  118  33.0  59.0 125.0     4.157     4.157   4.27  33  33  59  59 125 125     1
  119  50.0  32.0 127.0     2.359     2.359   2.42  50  50  32  32 127 127     1
